set	topic	title	good	bad	doc1	doc1keys1	doc1keys2	doc1keys	doc2	doc2keys1	doc2keys2	doc2keys	doc3	doc3keys1	doc3keys2	doc3keys	doc4	doc4keys1	doc4keys2	doc4keys	doc5	doc5keys1	doc5keys2	doc5keys
143	20996	"information about Guillermo Venegas Lloveras."	"pages with bibliographical infomation, contact data, photos, etc."	"pages that mention Guillermo Venegas but without details."	clueweb09-en0003-07-30357	"central, city, tkd, invitational, oklahoma"	"annual, 20071006, 20071201, jr, atlanta"	1	clueweb09-en0003-09-24653	"drawing, proudly, weblog, store, cathegory"	"ochoa, memo, de, news, guillermo"	2	clueweb09-en0003-40-01709	"close, taiwan, germany, japan, en"	"station, launchcast, music, yahoo, artist"	2	clueweb09-en0003-40-02584	"julieta, yahoo, station, videos, music"	"en, copyrighti, japan, reserved, close"	1	clueweb09-en0003-65-18685	"prank, shaadi, disclaimer, roads, calender"	"views, julieta, ago, video, venegas"	2
144	20996	"information about Guillermo Venegas Lloveras."	"pages with bibliographical infomation, contact data, photos, etc."	"pages that mention Guillermo Venegas but without details."	clueweb09-en0003-69-01006	"leduc, lebendorf, victor, lecuona, 18911948"	"france, usa, spain, germany, italy"	2	clueweb09-en0004-24-07181	"campos, blogs, form, bloggers, guillermo"	"mis, alt1040, terms, pc, hello"	1	clueweb09-en0004-26-22847	"travelape, tickets, julieta, provided, venegas"	"2008, review, source, retail, omissions"	1	clueweb09-en0004-42-01073	"guerra, list, trevi¤o, guillermo, david"	"jr, list, created, guillermo, origins"	1	clueweb09-en0005-25-14221	"mensajes, de, fray, guillermo, thanked"	"horarios, este, vbseo, amigo, tambi‚n"	1
145	20996	"information about Guillermo Venegas Lloveras."	"pages with bibliographical infomation, contact data, photos, etc."	"pages that mention Guillermo Venegas but without details."	clueweb09-en0006-37-10627	"dec, jan, antonio, van, von"	"vynograd, vriend, jay, 17911825, 13"	1	clueweb09-en0006-60-11996	"van, top, jan, de, giuseppe"	"1938, alexander, vries, 18951980, 1935"	1	clueweb09-en0006-93-17906	"del, toro, directing, guillermo, film"	"policy, leave, super, 70, website"	1	clueweb09-en0006-93-17973	"policy, vein, reserved, showing, notify"	"del, nt, toro, guillermo, hobbit"	2	clueweb09-en0007-07-38509	"site, violation, copied, illustration, transmitted"	"united, copyright, franco, laws, guillermo"	2
146	20996	"information about Guillermo Venegas Lloveras."	"pages with bibliographical infomation, contact data, photos, etc."	"pages that mention Guillermo Venegas but without details."	clueweb09-en0007-35-34482	"flickr, guest, sharing, map, photos"	"policy, blog, portuguˆs, faq, delicious"	1	clueweb09-en0007-38-41635	"maryland, senior, mobility, macroeconomics, director"	"professor, guillermo, university, calvo, lacea"	2	clueweb09-en0007-80-24132	"beltonen, copyright, nicole, iedereen, ja"	"polyfone, guillermo, 10, ringtones, danny"	2	clueweb09-en0007-84-10967	"bearing, hold, carry, colonial, modern"	"mexico, texcoco, city, painting, lake"	2	clueweb09-en0007-84-28557	"bass, guillermo, elastic, gregorio, series"	"lange, dapia, keefe, piano, materials"	1
147	20996	"information about Guillermo Venegas Lloveras."	"pages with bibliographical infomation, contact data, photos, etc."	"pages that mention Guillermo Venegas but without details."	clueweb09-en0008-11-07266	"2005, copyright, spam, 1769, protected"	"alvarez, de, laboratorio, guillermo, members"	2	clueweb09-en0008-15-21317	"provided, reproduction, blog, infringing, rhapsody"	"song, julieta, coti, form, venegas"	2	clueweb09-en0008-15-21319	"advertise, bad, exhibition, blog, privacy"	"venegas, song, julieta, artists, coti"	2	clueweb09-en0008-20-19068	"robayo, cuesta, carlos, florencia, basantes"	"7100, iattc, jolla, policy, la"	2	clueweb09-en0008-52-21190	"actitud, vilas, la, game, martin"	"ochoa, grind, search, videos, guillermo"	2
148	20996	"information about Guillermo Venegas Lloveras."	"pages with bibliographical infomation, contact data, photos, etc."	"pages that mention Guillermo Venegas but without details."	clueweb09-en0008-61-25821	"women, age, finish, division, time"	"misspelled, incorrect, productions, trafacanty, byron"	1	clueweb09-en0008-93-17757	"photo, desenvolvedor, guillermo, guerini, flickr"	"previous, happening, add, 2008, portfolio"	1	clueweb09-en0009-07-17361	"link, google, mexico, venegas, map"	"rss, de, faq, greece, css"	1	clueweb09-en0009-51-40526	"varones, 12, 18, 30, sergio"	"36, riffo, 35, ballivian, 39"	1	clueweb09-en0009-52-17950	"ven, claudia, claudio, cristian, egas"	"gaete, saavedra, ricardo, riquelme, rioseco"	1
149	20996	"information about Guillermo Venegas Lloveras."	"pages with bibliographical infomation, contact data, photos, etc."	"pages that mention Guillermo Venegas but without details."	clueweb09-en0009-57-09718	"associate, polica, catica, defense, evoluci"	"universidad, guillermo, de, chile, pattillobio"	2	clueweb09-en0009-57-11166	"constantijn, photos, ladyinwaiting, wisse, gaarlandtvan"	"vollenhoven, bourbon, prince, princess, van"	2	clueweb09-en0009-74-23310	"leon, kings, lovin, joy, larock"	"de, del, musica, feeling, iniciar"	2	clueweb09-en0009-74-23311	"musica, de, discografia, iniciar, corneille"	"africanos, mocota, vios, preservar, iron"	1	clueweb09-en0009-74-23518	"song, girls, de, musica, scouting"	"girlz, dresden, contacta, policas, fufai"	1
150	20996	"information about Guillermo Venegas Lloveras."	"pages with bibliographical infomation, contact data, photos, etc."	"pages that mention Guillermo Venegas but without details."	clueweb09-en0009-76-14491	"deceit, weakness, bonnerr, grant, search"	"listed, diagram, standard, mentioned, share"	1	clueweb09-en0009-80-17631	"pasos, sabiendose, perdido, otras, otro"	"album, julieta, de, john, venegas"	2	clueweb09-en0009-80-19595	"reserved, 2429, rights, producer, profile"	"del, dvd, guillermo, toro, pan"	2	clueweb09-en0009-82-04852	"getty, raul, paula, staff, gallego"	"afghanistan, undisclosed, photojournalist, photographer, bangkok"	2	clueweb09-en0009-85-08596	"received, international, february, national, pedro"	"honduras, el, exhibits, mahchi, gallery"	2
151	20996	"information about Guillermo Venegas Lloveras."	"pages with bibliographical infomation, contact data, photos, etc."	"pages that mention Guillermo Venegas but without details."	clueweb09-en0009-98-07962	"free, statistics, service, badges, live"	"rafael, lloveras, ming, residencia, marxuach"	2	clueweb09-en0010-04-07631	"forchino, incl, guillermo, cm, nbsp"	"contact, password, manage, sitemap, email"	1	clueweb09-en0010-47-35871	"guillermo, racquet, mid, tennis, coria"	"italiano, finale, auction, con, protagonista"	1	clueweb09-en0010-98-21708	"affair, 2008, wayward, alain, carlos"	"john, martin, rouge, 2004, ford"	2	clueweb09-en0011-20-36843	"media, tango, real, videos, contact"	"john, valentine, exhibit, anson, orange"	1
152	20996	"information about Guillermo Venegas Lloveras."	"pages with bibliographical infomation, contact data, photos, etc."	"pages that mention Guillermo Venegas but without details."	clueweb09-en0011-23-12636	"previous, 61, empty, music, bottle"	"88, 99, 96, 79, 82"	1	clueweb09-en0011-33-34612	"guillermo, cayo, photos, tips, hotels"	"find, vt, 19942009, center, advanced"	1	clueweb09-en0011-38-15648	"arts, argentina, associates, official, credits"	"fantastico, california, el, steven, 1986"	1	clueweb09-en0015-82-33121	"asp, personal, site, nodeworks, directory"	"seconds, posters, screenshots, including, compressed"	1	clueweb09-en0016-25-21816	"selftaught, luck, left, academies, prestigious"	"songs, composer, music, guillermo, lloveras"	2
153	20996	"information about Guillermo Venegas Lloveras."	"pages with bibliographical infomation, contact data, photos, etc."	"pages that mention Guillermo Venegas but without details."	clueweb09-en0016-25-21819	"porter, rafael, beethoven, rodgers, chopin"	"guillermo, pagina, pedro, lloveras, venegas"	2	clueweb09-en0018-50-10063	"tage, egyptfrance, columbia, bredemeyer, sculthorpe"	"italy, germany, france, spain, usa"	2	clueweb09-en0025-65-22689	"rights, inactity, una, wea, historia"	"chucho, artists, puerto, musical, rico"	2	clueweb09-en0030-71-03545	"directory, nodeworks, games, men, button"	"build, features, 2009, 0062, expansion"	1	clueweb09-en0031-81-01989	"de, john, germany, france, italy"	"iannis, willaert, contact, cher, usagermany"	1
154	20996	"information about Guillermo Venegas Lloveras."	"pages with bibliographical infomation, contact data, photos, etc."	"pages that mention Guillermo Venegas but without details."	clueweb09-en0032-83-05883	"regional, caribbean, music, arts, puerto"	"cellists, industries, languages, 2009, composition"	1	clueweb09-en0036-35-17782	"kurtlar, prandi, julieta, venegas, leme"	"vitamin, aranan, sitemap, anti, galatasaraypsv"	1	clueweb09-en0037-44-16510	"venegas, compositor, lloveras, guillermo, pedro"	"juan, berlin, dog, labrador, lara"	1	clueweb09-en0038-34-40913	"directory, 17, arts, modplug, search"	"editor, 20032004, consolidation, dominion, content"	1	clueweb09-en0039-33-23425	"help, contact, en, mas, httpwww"	"venegas, rico, form, guillermo, site"	2
155	20996	"information about Guillermo Venegas Lloveras."	"pages with bibliographical infomation, contact data, photos, etc."	"pages that mention Guillermo Venegas but without details."	clueweb09-en0051-27-09142	"metropolitan, musicmp3midi, pleased, click, midi"	"music, guillermo, video, composed, venegas"	2	clueweb09-en0058-27-09722	"de, music, moishei, composition, arts"	"vitry, louis, luis, contemporary, joseph"	1	clueweb09-en0061-39-18272	"en, vallarta, puerto, rican, rico"	"depredadores, roo, acampar, verbal, pesca"	1	clueweb09-en0069-75-07011	"yellow, entrepreneur, 2006, fuzzy, llc"	"things, composers, favorite, arts, music"	2	clueweb09-en0087-04-09145	"genesis, puerto, guillermo, venegas, asociaci¢n"	"7th, poems, president, telephone, dedicated"	1
156	20996	"information about Guillermo Venegas Lloveras."	"pages with bibliographical infomation, contact data, photos, etc."	"pages that mention Guillermo Venegas but without details."	clueweb09-en0088-37-08385	"guillermo, venegas, directory, composers, lloveras"	"0169, open, 737, editor, 2009"	1	clueweb09-en0090-07-28460	"lc, services, materials, agreement, 2008"	"custom, website, gallery, design, icon"	2	clueweb09-en0093-24-10411	"1936, estoniaaustria, gorecki, wright, penderecki"	"germany, italy, united, france, england"	2	clueweb09-en0100-86-02450	"velez, yango, composerguitarist, web, cortez"	"singer, painter, composer, venegas, lloveras"	2	clueweb09-en0100-86-02451	"favorite, royalties, drunk, scanda, connection"	"songs, venegas, fust‚, peermusic, judge"	2
157	20996	"information about Guillermo Venegas Lloveras."	"pages with bibliographical infomation, contact data, photos, etc."	"pages that mention Guillermo Venegas but without details."	clueweb09-en0101-12-29285	"b1984, patrik, b1978, theobalds, b1975"	"germany, france, uk, italy, usa"	2	clueweb09-en0101-66-11937	"surfing, update, seconds, compressed, offered"	"costa, da, nodeworks, music, antonio"	2	clueweb09-en0104-87-04658	"domenico, recommended, leading, international, australian"	"web, list, directory, composers, music"	2	clueweb09-en0106-19-12208	"genesis, asociaci¢n, guillermo, venegas, lloveras"	"ven, 7878953564, things, 83, egas"	1	clueweb09-en0108-11-39599	"domains, bkatalog, composers, ngi, dsl"	"privacy, slava, virus, johnova, czech"	1
158	20996	"information about Guillermo Venegas Lloveras."	"pages with bibliographical infomation, contact data, photos, etc."	"pages that mention Guillermo Venegas but without details."	clueweb09-en0112-48-15736	"venegas, votes, guillermo, httpwww, lloveras"	"administration, updated, mon, gmt, works"	1	clueweb09-en0114-02-01746	"la, michel, georg, de, le"	"opportunities, acceptable, limited, categories, guidelines"	1	clueweb09-en0115-09-27488	"maria, antonio, composition, nodeworks, bononcini"	"725, update, build, sunday, program"	1	clueweb09-en0117-01-24420	"composition, categories, music, 17, arts"	"glauco, website, lans, louis, 66"	1	clueweb09-en0119-03-34793	"timothy, summaria, terence, combie, hamilto"	"de, italy, france, spain, uk"	2
159	20996	"information about Guillermo Venegas Lloveras."	"pages with bibliographical infomation, contact data, photos, etc."	"pages that mention Guillermo Venegas but without details."	clueweb09-en0129-94-14964	"17571831, platti, 16231686, alfredo, 16901763"	"germany, spain, italy, france, link"	2	clueweb09-en0129-94-14966	"france, italy, germany, austria, link"	"fuenllana, rosa, laborda, triay, encinar"	1	clueweb09-en0131-42-22886	"modified, build, vivaldi, copyright, kevin"	"web, directory, de, ads, category"	2	clueweb09-en0132-77-26392	"presente, venegas, julieta, video, tags"	"hai, gnomedex80, policy, intercept, privacy"	1	clueweb09-enwp01-17-03021	"policy, details, foundation, privacy, copyrights"	"1953, usa, 1950, edit, de"	2
162	20690	"treatments for Receding Gum."	"pages that describe the disease, treatments and their cost, dentists that treat it."	"pages related to cosmetic treatments or that merely advertise products."	clueweb09-en0000-47-25410	"teeth, infection, disease, conditions, gum"	"copyright, delivery, dds, disclaimer, rights"	1	clueweb09-en0000-58-00636	"alternative, cancer, louis, breast, treatment"	"radioactive, florida, iodine, ahcc, melanoma"	1	clueweb09-en0000-75-03873	"skin, best, laser, acne, treatment"	"treatmen5, treatmeng, treatmen4, mment, treatmdnt"	1	clueweb09-en0000-75-03874	"acne, skin, cystic, laser, treatment"	"treatmen6, tricyclic, phenothiazines, treatmen5, stiffness"	1	clueweb09-en0000-75-03875	"homemade, scar, acne, laser, treatment"	"treatm3nt, strains, bt, treatmenf, treatmwnt"	1
163	20690	"treatments for Receding Gum."	"pages that describe the disease, treatments and their cost, dentists that treat it."	"pages related to cosmetic treatments or that merely advertise products."	clueweb09-en0000-91-05482	"homemade, fast, murad, canyon, offered"	"laser, treatment, light, skin, acne"	2	clueweb09-en0001-76-12868	"medallions, indies, impressions, unabridged, color"	"gum, macaroni, macaranga, macadamize, chewing"	2	clueweb09-en0002-97-03954	"data, intended, including, privacy, lex"	"gulzar, arabic, anime, dictionary, gum"	2	clueweb09-en0003-07-27428	"cancer, alternative, breast, lung, treatment"	"uk, phone, low, offer, consumer"	1	clueweb09-en0003-17-27521	"copy, report, andor, reserved, 19992009"	"gum, camera, video, dvr, recorder"	2
164	20690	"treatments for Receding Gum."	"pages that describe the disease, treatments and their cost, dentists that treat it."	"pages related to cosmetic treatments or that merely advertise products."	clueweb09-en0003-33-23392	"water, cancer, acne, treatment, center"	"project, shanghai, grub, hypertrophy, lesion"	1	clueweb09-en0003-48-02911	"disclaimer, website, including, data, copyright"	"acacia, gum, dictionary, arabic, anime"	2	clueweb09-en0003-61-16310	"china, chewing, bubble, alibaba, gum"	"notice, enter, koubei, tips, copyright"	1	clueweb09-en0003-61-16313	"alimama, notice, 19992009, alisoft, terms"	"bubble, china, tape, chewing, gum"	2	clueweb09-en0004-07-04564	"cancer, center, drug, water, treatment"	"retentive, hypotalmus, calcium, resurfacing, existential"	1
165	20690	"treatments for Receding Gum."	"pages that describe the disease, treatments and their cost, dentists that treat it."	"pages related to cosmetic treatments or that merely advertise products."	clueweb09-en0004-80-29473	"f1, emilia, schweiz, macdonald, stefan"	"gum, dancing, bubble, chewing, funny"	2	clueweb09-en0004-96-39393	"nerve, tooth, receding, gumline, damage"	"blasi, chesters, categories, jacaman, gf"	1	clueweb09-en0004-97-07649	"gum, derivatives, guar, exporter, powder"	"reserved, belongs, optimization, opal, international"	1	clueweb09-en0005-10-15694	"totz, sseb, 8888808357, remrn, strsz"	"gum, cartoons, search, image, northern"	2	clueweb09-en0005-14-11163	"19982009, db, received, viewed, report"	"rate, gum, title, cartoon, grubble"	2
166	20690	"treatments for Receding Gum."	"pages that describe the disease, treatments and their cost, dentists that treat it."	"pages related to cosmetic treatments or that merely advertise products."	clueweb09-en0005-89-17122	"gum, kill, ass, bath, bags"	"shut, enjoy, orgasgum, evil, site"	1	clueweb09-en0006-01-22988	"delivery, understand, 2003, latest, galen"	"teeth, conditions, disease, tartar, gum"	2	clueweb09-en0006-01-38665	"questions, history, brands, mezedes, rest"	"small, products, greek, gum, mastic"	2	clueweb09-en0006-70-32878	"copyright, nebraska, sitemap, rights, hampshire"	"info, eating, treatment, centers, help"	2	clueweb09-en0006-73-38591	"care, patients, glebe, dental, treatment"	"box, au, testimonials, news, pacific"	1
167	20690	"treatments for Receding Gum."	"pages that describe the disease, treatments and their cost, dentists that treat it."	"pages related to cosmetic treatments or that merely advertise products."	clueweb09-en0006-73-38593	"enewsletter, free, surf, box, technologie"	"glebe, dr, care, dentist, dental"	2	clueweb09-en0006-83-33670	"period, gelatin, ingredient, editorial, tetracycline"	"disease, bone, teeth, bacteria, gum"	2	clueweb09-en0006-83-37998	"disease, bacteria, pockets, teeth, gum"	"total, responsef, 10, threadlike, number"	1	clueweb09-en0007-00-38276	"gum, 11, bubble, liquid, kallas"	"dracon, fruity, syrian, pokemon, digital"	1	clueweb09-en0008-06-11316	"cream, smoking, thyroid, height, football"	"natural, cancer, treatment, skin, care"	2
168	20690	"treatments for Receding Gum."	"pages that describe the disease, treatments and their cost, dentists that treat it."	"pages related to cosmetic treatments or that merely advertise products."	clueweb09-en0008-30-37016	"filling, tooth, top, patient, teeth"	"copyright, buildup, heavy, officite, third"	1	clueweb09-en0008-78-23244	"receding, gum, site, recession, web"	"teens, keywords, thursday, 2009, remedy"	1	clueweb09-en0008-78-24488	"receding, gum, web, site, submit"	"vsnotcom, disease, hot, recreation, january"	1	clueweb09-en0008-78-24489	"news, gums, site, submit, receding"	"reference, 10, sports, gumspyorrhea, teens"	1	clueweb09-en0008-83-40066	"gumart, gum, chewed, bubble, sticky"	"phone, paging, wave, trademark, artist"	1
169	20690	"treatments for Receding Gum."	"pages that describe the disease, treatments and their cost, dentists that treat it."	"pages related to cosmetic treatments or that merely advertise products."	clueweb09-en0009-12-28144	"perigum, mouthwash, gum, buy, health"	"llc, frequently, carefully, mail, ad"	1	clueweb09-en0009-28-29014	"dentistry, oral, missouri, surgeons, dental"	"photos, patients, boards, pictures, enamel"	1	clueweb09-en0009-28-29015	"laboratories, enamel, rights, patients, equipment"	"dental, surgeons, oral, implants, montana"	2	clueweb09-en0009-28-29016	"boards, pictures, gums, damage, equipment"	"surgery, surgeons, oral, dental, hampshire"	2	clueweb09-en0009-28-29020	"polls, equipment, laser, free, pictures"	"surgery, oral, dentist, dental, washington"	2
170	20690	"treatments for Receding Gum."	"pages that describe the disease, treatments and their cost, dentists that treat it."	"pages related to cosmetic treatments or that merely advertise products."	clueweb09-en0009-28-29021	"reserved, boards, craniofacial, rights, free"	"dental, dc, implants, dentistry, oral"	2	clueweb09-en0009-35-31902	"oral, sedation, fillings, dragisic, motahar"	"24, implants, dental, kingston, dr"	2	clueweb09-en0009-35-31914	"white, dragisic, gallery, dentures, lumineers"	"whitening, dr, kingston, dental, finance"	2	clueweb09-en0009-35-31925	"examination, dentures, gallery, fillings, motahar"	"dental, whitening, cases, tooth, kingston"	2	clueweb09-en0009-35-31926	"reserved, ehsan, gum, testimonials, find"	"treatments, kingston, dental, dr, veneers"	2
171	20690	"treatments for Receding Gum."	"pages that describe the disease, treatments and their cost, dentists that treat it."	"pages related to cosmetic treatments or that merely advertise products."	clueweb09-en0009-35-31931	"9am, dental, opening, 10pm, hours"	"zahra, shade, examination, white, contact"	1	clueweb09-en0009-35-31933	"vahid, white, mohsen, copyright, shade"	"implants, dental, treatment, hour, veneers"	2	clueweb09-en0009-35-31934	"esfahani, dental, kingston, whitening, dr"	"oral, rights, sitemap, gum, sedation"	1	clueweb09-en0009-70-19964	"calcium, gum, disease, periodontal, products"	"call, diagnose, read, find, 5522402"	1	clueweb09-en0009-71-19627	"surgery, periodontal, videos, dental, dentists"	"equipment, compiled, dent, rights, visit"	1
172	20690	"treatments for Receding Gum."	"pages that describe the disease, treatments and their cost, dentists that treat it."	"pages related to cosmetic treatments or that merely advertise products."	clueweb09-en0009-71-19630	"sanderson, main, movie, practice, return"	"dental, periodontics, tissue, gum, grafting"	2	clueweb09-en0009-88-39686	"loss, hair, treatment, form, pictures"	"positive, naturally, times, androgenetica, ensures"	1	clueweb09-en0010-06-11550	"advice, emails, pediatrician, manufacturers, substitute"	"gum, product, gingivitis, treatment, cure"	2	clueweb09-en0010-06-11551	"gum, treat, treatment, gingivitis, inflammation"	"child, manufacturers, copyright, emails, tellafriend"	1	clueweb09-en0010-23-06084	"de2, arther, respected, girakon, 804"	"video, download, gum, stride, tags"	2
173	20690	"treatments for Receding Gum."	"pages that describe the disease, treatments and their cost, dentists that treat it."	"pages related to cosmetic treatments or that merely advertise products."	clueweb09-en0010-49-14935	"confectionery, company, gum, food, products"	"original, finally, marketing, thomas, items"	1	clueweb09-en0011-58-20444	"mida, copyright, 5358, education, cvrk"	"center, water, treatment, window, acne"	2	clueweb09-en0025-06-35285	"breath, result, depth, proven, scientifically"	"disease, gum, alveolaris, pyorrhea, teeth"	2	clueweb09-en0026-07-24141	"disease, treatment, prevent, products, gum"	"evaluated, manufacturers, advice, substitute, purposes"	1	clueweb09-en0027-49-18727	"gums, gingivitis, bad, bleeding, disease"	"simple, reserved, topblogareacom, threat, 2219"	1
174	20690	"treatments for Receding Gum."	"pages that describe the disease, treatments and their cost, dentists that treat it."	"pages related to cosmetic treatments or that merely advertise products."	clueweb09-en0036-31-31251	"refers, gingiva, simple, bone, condition"	"periodontal, receding, disease, gum, mihalism"	2	clueweb09-en0039-10-13022	"privacy, directory, health, smoking, program"	"receding, gums, prevention, cure, gingivitis"	2	clueweb09-en0039-10-13024	"teeth, receding, periodontal, disease, gums"	"20012007, disclaimer, affiliate, privacy, months"	1	clueweb09-en0039-36-01405	"representations, evaluated, tellafriend, drug, advice"	"gingivitis, treat, treatment, gum, products"	2	clueweb09-en0039-36-01407	"tellafriend, medical, disclaimer, advice, web"	"gingivitis, treat, treatment, gum, product"	2
175	20690	"treatments for Receding Gum."	"pages that describe the disease, treatments and their cost, dentists that treat it."	"pages related to cosmetic treatments or that merely advertise products."	clueweb09-en0039-69-05576	"gums, bad, disease, receding, breath"	"2008, properties, pain, formulation, pathogens"	1	clueweb09-en0040-20-30264	"receding, gums, products, cure, treatment"	"drug, advice, substitute, grain, copyright"	1	clueweb09-en0040-20-30267	"gums, receding, bacteria, treatment, cure"	"copyright, disclaimer, statements, 200, evaluated"	1	clueweb09-en0040-75-07778	"addictions, cuff, witch, gold, aafees"	"gum, treatment, keywords, hairline, receding"	2	clueweb09-en0040-95-38390	"health, problems, bad, gums, breath"	"essential, form, web, spearmint, peppermint"	1
176	20690	"treatments for Receding Gum."	"pages that describe the disease, treatments and their cost, dentists that treat it."	"pages related to cosmetic treatments or that merely advertise products."	clueweb09-en0041-26-28196	"meant, delivery, understand, mith, privacy"	"conditions, disease, gum, teeth, dental"	2	clueweb09-en0050-16-21288	"disease, help, gums, healing, receding"	"regular, result, grow, visit, lasting"	1	clueweb09-en0050-73-40421	"permalink, 17, categories, spread, hard"	"2008, june, receding, gums, teeth"	2	clueweb09-en0051-15-03963	"tartar, infection, teeth, gum, disease"	"paymentinsurance, privacy, technology, 2002, concerns"	1	clueweb09-en0052-72-44006	"7777, link, affiliate, cure, statements"	"receding, procedure, disease, problem, gums"	2
177	20690	"treatments for Receding Gum."	"pages that describe the disease, treatments and their cost, dentists that treat it."	"pages related to cosmetic treatments or that merely advertise products."	clueweb09-en0052-72-44017	"disease, teeth, tissue, gum, receding"	"drug, link, administration, program, 7777"	1	clueweb09-en0052-77-32978	"copyright, website, substitute, statements, reserved"	"gums, prevent, receding, bacteria, treatment"	2	clueweb09-en0053-63-30588	"teeth, pyorrhea, periodontitis, disease, gum"	"isease, gov, articles, flossing, tartar"	1	clueweb09-en0053-91-25511	"gum, receding, products, disease, oral"	"reserved, opimization, sitemap, internet, wordsmediacom"	1	clueweb09-en0054-41-31371	"gum, gingivitis, product, cure, treatment"	"evaluated, statements, emails, representations, child"	1
178	20690	"treatments for Receding Gum."	"pages that describe the disease, treatments and their cost, dentists that treat it."	"pages related to cosmetic treatments or that merely advertise products."	clueweb09-en0054-88-17365	"intended, bacteria, evaluated, diagnose, map"	"treatment, disease, gums, periodontal, receding"	2	clueweb09-en0054-88-17368	"gum, disease, receding, remedy, natural"	"recommendation, contact, map, disclaimer, click"	1	clueweb09-en0064-76-12870	"graft, dental, receding, teeth, gums"	"diseaseand, soothe, uncomfortable, ward, stage"	1	clueweb09-en0066-93-42838	"food, directory, fda, affiliate, 20012007"	"disease, gingivitis, grow, gum, receding"	2	clueweb09-en0068-64-18240	"drug, disclaimer, advice, web, manufacturers"	"gingivitis, cure, treatment, inflammation, gum"	2
179	20690	"treatments for Receding Gum."	"pages that describe the disease, treatments and their cost, dentists that treat it."	"pages related to cosmetic treatments or that merely advertise products."	clueweb09-en0079-31-30786	"hiding, tag, gums, receding, teeth"	"article, born, funding, photo, gingivitis"	1	clueweb09-en0081-04-04734	"gum, receding, treatment, disease, cure"	"purposes, disclaimer, substitute, statements, concerns"	1	clueweb09-en0081-41-18775	"7777, program, diagnose, privacy, halitosis"	"gum, treated, disease, receding, infection"	2	clueweb09-en0082-97-02017	"search, wordsmediacom, opimization, program, 2007"	"disease, treatment, products, gum, natural"	2	clueweb09-en0083-75-01773	"remedy, disease, gum, treatment, receding"	"original, recommendation, administration, 20072008, privacy"	1
180	20690	"treatments for Receding Gum."	"pages that describe the disease, treatments and their cost, dentists that treat it."	"pages related to cosmetic treatments or that merely advertise products."	clueweb09-en0083-81-13359	"illnesses, rights, reserved, fda, emails"	"gingivitis, cure, gum, treatment, inflammation"	2	clueweb09-en0090-46-10990	"webs, intended, mith, rights, disclaimer"	"conditions, dental, disease, teeth, gum"	2	clueweb09-en0091-01-22123	"yonkers, practice, endorsements, constitute, healthcare"	"teeth, plaque, tooth, inflammation, gums"	2	clueweb09-en0093-52-11164	"contact, rights, 2008, exchange, fo"	"grow, gums, receding, tag, teeth"	2	clueweb09-en0094-13-39122	"receding, patient, disease, gums, procedures"	"cure, ingredients, 20012007, disclaimer, diagnose"	1
181	20690	"treatments for Receding Gum."	"pages that describe the disease, treatments and their cost, dentists that treat it."	"pages related to cosmetic treatments or that merely advertise products."	clueweb09-en0094-46-38031	"treatment, bacteria, gums, receding, cure"	"tellafriend, bookmark, pediatrician, concerns, 200"	1	clueweb09-en0097-13-05558	"disclaimer, listed, tellafriend, concerns, drug"	"treatment, gingivitis, gums, products, prevent"	2	clueweb09-en0103-96-23506	"receding, treatment, disease, gums, june"	"stumbleupon, effects, help, filed, icious"	1	clueweb09-en0105-11-01786	"tartar, teeth, patients, gum, disease"	"rights, serve, determine, hard, intended"	1	clueweb09-en0105-33-17849	"archives, recurrence, permalink, 2009, furl"	"treating, receding, gums, disease, treatment"	2
203	20910	"information about Yersinia (bacteria)."	"pages that describe the Yersinia genus of bacteria or the Yersinia Pestis-Bubonic Plague."	"pages that merely mention the bacteria but do not give further information."	clueweb09-en0000-01-14509	"advertise, specific, consult, byreviewed, copyright"	"infected, bacteria, fleas, yersinia, emedtv"	2	clueweb09-en0000-12-04421	"abstract, full, yersinia, articles, strains"	"gonz, enterobacter, mol, clinical, 32973302"	1	clueweb09-en0002-08-20282	"secretion, attenuated, 198, 155, med"	"brubaker, yersinia, pestis, articles, microbiology"	2	clueweb09-en0002-08-20283	"plague, immun, miller, required, lawren"	"felek, krukonis, microbiology, yapc, articles"	2	clueweb09-en0002-08-20299	"calcium, sgm, murine, toxin, pla"	"active, articles, microbiology, pestoides, aspa"	2
204	20910	"information about Yersinia (bacteria)."	"pages that describe the Yersinia genus of bacteria or the Yersinia Pestis-Bubonic Plague."	"pages that merely mention the bacteria but do not give further information."	clueweb09-en0002-12-03910	"yersinia, co92, 2008, lpp, articles"	"mottaz, 154, analysis, parham, proteomic"	1	clueweb09-en0002-12-04134	"alternatively, digital, gray, associated, overlays"	"infected, il1á, secretion, activation, macrophages"	2	clueweb09-en0002-16-05492	"abstract, 2004, text, pestis, full"	"lobo, se, 341354, surface, soule"	1	clueweb09-en0002-16-05743	"kim, orfs, genome, inversions, genes"	"nitrite, glycerol, replaced, fdhf, nar"	1	clueweb09-en0002-23-03391	"cartilage, yeast, yellow, yersinia, yolk"	"continue, links, vertical, yt, portal"	1
